,0
122,遵守预约时间打疫苗　柯文哲吁：在外面晒太阳也不是好事
123,快讯／「武汉肺炎传染全世界」陈柏惟要求：向中国求偿！
124,苏贞昌：纾困未尽周到之处，要求部会务必做到「救急救穷」
125,快讯／金山爆家庭群聚6例确诊　侯友宜：明出动机动快筛队
126,逆时中！台中1.3万邻长疫苗照打　卢秀燕：我决策我负责
127,快讯／不只好心肝偷打！柯文哲公布6诊所外流202瓶疫苗
128,牵拖中央？北市争议说不清　柯：中央挂帐80瓶从没看过
129,被柯文哲酸「内线交易」高雄市卫生局反酸：简单的数学问题
130,龙应台分享儿子的提醒　绿委管碧玲：有安定民心的善意
131,12区确诊数曝光！柯文哲揭这事「很麻烦」：不能乐观
132,称万华「是破口」！林昶佐不忍了致电石崇良：应谨慎发言
133,独家／医护爆好心肝的疫苗从「这里」来　柯文哲：不太可能
134,发表公开信　陈文茜：我知道狗会反咬人，不知道衞福部也会
135,郭台铭证实「政府助购疫苗」　她打脸马英九：停止挑拨对立
136,苏贞昌下令：加强移工防疫管理　做不到就祭出最严格处分
137,郭台铭500万疫苗进不来？赵少康竟扯：蔡政府给他穿小鞋
138,快讯／116万剂莫德纳疫苗明抵台？总统府：无须多加揣测
139,不喜欢中共军机在台海上空绕飞　释昭慧：因读到死亡的讯息
140,不只台积电、郭台铭！蔡英文：政府也会采购BNT疫苗
141,快讯／好心肝2诊所插队打疫苗！北市府重罚200万
142,柯文哲称排队打疫苗没必要　民众怨根本没通知施打时间
143,国产疫苗3缺点！高嘉瑜喊「增加国外采购量」：尤其莫德纳
144,最高给2万！柯文哲推「你上工我加薪」：怕饿死比病死多
145,防疫出招！端午不出门　蔡英文揭「爱护家人最适合的方式」
146,高雄疫苗排线动线乱！陈其迈鞠躬：歹势，立刻改善
147,请辞参选议员？结束驻美工作返台　口译哥赵怡翔曝最新规划
148,不满国道管控　朱学恒：要不要规定全民服用含笑半步颠？
149,「全台陪双北坐牢」苗博雅深夜发长文道歉：太着急带了情绪
150,打疫苗为什么会变这么乱？医揭关键：台湾人脑子先长出血栓
151,75%民众「非常不满意北市」　柯文哲冷回：人在做天在看
152,中央提早发下疫苗！北市系统要再等等　黄珊珊怨：打乱脚步
153,范世平：不是「蔡！屠杀我们」，是「习」，大S敢骂吗？
154,新北今再增2名长者施打疫苗后猝死　施打率降至4成7
155,张荣味、张嘉郡连爆「特权接种」　张丽善秀公文：我有权限
156,中央配发疫苗大小眼？柯文哲派出黄珊珊代答　信件内容曝光
157,下令行政院补强纾困预算　蔡英文强调：这是人民的救命钱
158,6／28后「三级警戒」各县市分级警戒？　柯文哲表态了！
159,疫情冲击！6383人遭放无薪假　「3大产业」沦最惨苦主
160,国产疫苗优势　陈建仁曝光原理：副作用比国际大厂低！
161,找民代乔疫苗？他爆：云林一剂代价5千！云县府回应了
162,时力议员偷打疫苗　党主席陈椒华道歉了：权贵的命绝不优先
163,为何政府买HFNC速度输贾永婕？律师揭关键原因
164,疫苗预约系统出包？禾馨医开呛柯文哲　北市府：尚未开放
165,回击柯P「内线交易」陈其迈：高雄没有内线，只有基层奉献
166,不满高雄先部署疫苗施打？柯文哲酸：内线交易算什么罪名
167,云林前县长张荣味传出「抢先打疫苗」县府回应：符合规定
168,画面曝光！侯友宜突袭检查菜市场　端午人潮骤降1／2
169,捐100台笔电！韩国瑜亲送偏乡　网泪：莫忘世上苦人多
170,新北何时解封？侯友宜：目前没看到任何解除三级警戒的条件
171,三级警戒延至28日　内政部：宗教寺庙暂不进入、暂停公祭
172,高虹安再提3+11！陈时中动怒「我负责了」：别污蔑我们
